YEAR,CONF ID,CONF,BADJ EM,BADJ O,BADJ D,BARTHAG,G,W,L,WIN%,EFG%,EFGD%,FTR,FTRD,TOV%,TOV%D,OREB%,DREB%,OP OREB%,OP DREB%,RAW T,2PT%,2PT%D,3PT%,3PT%D,BLK%,BLKED%,AST%,OP AST %,2PTR,3PTR,2PTRD,3PTRD,BADJ T,AVG HGT,EFF HGT,EXP,TALENT,FT%,OP FT%,PPPO,PPPD,ELITE SOS,WAB
2024,1,A10,5.6,108.3,102.7,0.648,240,103,137,42.91666667,50.3,50.8,31.9,35.3,17.5,16.2,27.8,71.4,28.6,72.2,67.3,49.1,50.2,34.7,34.5,9.7,11.2,50.6,52.9,60.7,39.3,61.3,38.7,67.8,77.133,80.264,1.884,18.386,73.3,72,1.039,1.07,28.329,-3.1
2024,2,ACC,11.2,111.6,100.4,0.771,242,102,140,42.14876033,50.2,51.2,29.8,33,16.7,15.4,27.5,71.4,28.6,72.5,68.2,49.6,51.6,34.2,33.7,8.8,10.2,49.4,51.2,62.6,37.4,62.5,37.5,68.1,77.897,81.078,1.653,62.324,73.6,74.2,1.042,1.085,41.17,-1
2024,3,AE,-5.3,101.1,106.4,0.357,158,63,95,39.87341772,49,50,28.8,33.9,17.1,16,25.9,71.4,28.6,74.1,71.2,49.9,51.1,31.6,32.1,9.5,10.1,46.7,48.7,63.8,36.2,64.5,35.5,70.6,76.776,79.091,2.147,6.236,70,72,1,1.054,16.777,-6.5
2024,4,Amer,3.9,107.8,103.9,0.604,227,94,133,41.40969163,49.8,50.5,32.1,34.8,16.9,16.2,29.5,68.8,31.2,70.5,68.4,49.4,49.9,33.6,34.3,10,10.5,48.8,53.1,61.8,38.2,61.6,38.4,68.4,77.293,80.347,2.237,30.455,70.6,72.5,1.045,1.084,25.626,-3.9
2024,5,ASun,-7.9,103.5,111.4,0.3,210,60,150,28.57142857,50,53.9,28.4,34.5,16.8,15.3,27.7,69.3,30.7,72.3,69.3,48.9,53.7,34.5,36.1,8,9.7,45.4,49.6,60.4,39.6,62.3,37.7,69,76.777,79.668,2.026,8.164,73,72.4,1.038,1.136,17.471,-8.3
2024,6,B10,14.1,113.6,99.5,0.821,218,83,135,38.0733945,49.7,51.3,31.8,35.3,16.6,15.6,29.2,70.1,29.9,70.8,67.8,48.8,50.5,34.3,35.2,9.2,9.5,51.5,55.2,65.1,34.9,64.9,35.1,67.8,77.912,81.161,1.982,57.333,73.3,73.3,1.052,1.093,48.308,-0.46
2024,7,B12,14.5,112.7,98.2,0.83,213,91,122,42.72300469,49.3,50.9,31.5,37.5,17.8,17.2,30.9,71,29,69.1,68.1,49.5,50.3,32.6,34.5,9.6,9.6,52.6,55.2,62.6,37.4,62.4,37.6,68.2,77.588,80.916,2.096,48.607,71.8,73.7,1.035,1.066,49.125,0.29
2024,8,BE,14.5,113.1,98.6,0.829,173,76,97,43.93063584,50.1,51.2,27.3,29.9,16.2,16,28.1,70.9,29.1,71.9,67.7,50.2,50.4,33.3,35,9.6,10.6,51.9,54.6,61,39,61.8,38.2,67.9,77.722,80.772,2.102,50.583,75.2,74.7,1.048,1.079,48.149,0.3
2024,9,BSky,-6.6,102.7,109.3,0.328,188,71,117,37.76595745,50.7,54.2,31.3,35.3,17.9,16.5,26,72.3,27.7,74,67.7,51.8,54.6,32.7,35.7,6.8,9.3,48.1,50.7,61.3,38.7,63.2,36.8,68.3,77.249,80.202,2.057,4.159,73,71.9,1.027,1.105,15.866,-7.6
2024,10,BSth,-2.8,104.3,107.1,0.424,159,62,97,38.99371069,49.2,51.3,35.1,36.5,16.8,16.6,29.4,69.9,30.1,70.6,68,48.6,51.7,33.5,33.7,7.7,10.2,45.5,49.6,64.8,35.2,63.2,36.8,68.1,76.79,79.666,2.237,8.169,69.6,73.3,1.037,1.084,17.624,-6.5
