YEAR,CONF ID,CONF,BADJ EM,BADJ O,BADJ D,BARTHAG,G,W,L,WIN%,EFG%,EFGD%,FTR,FTRD,TOV%,TOV%D,OREB%,DREB%,OP OREB%,OP DREB%,RAW T,2PT%,2PT%D,3PT%,3PT%D,BLK%,BLKED%,AST%,OP AST %,2PTR,3PTR,2PTRD,3PTRD,BADJ T,AVG HGT,EFF HGT,EXP,TALENT,FT%,OP FT%,PPPO,PPPD,ELITE SOS,WAB
2024,1,A10,5.1,109.2,104.1,0.634,167,65,102,38.92215569,50.6,51.8,30.5,35.8,17.1,15.6,27.4,72,28,72.6,67.7,49.3,50.7,35,35.6,9.5,11.3,50,53.9,60.5,39.5,60.7,39.3,68.1,77.133,80.264,1.884,18.386,73.4,72.5,1.045,1.088,30.416,-2.3
2024,2,ACC,10,110.9,100.9,0.748,169,64,105,37.86982249,50.2,51.6,27.5,33.4,17,14.7,27.5,72.8,27.2,72.5,68,48.9,51.8,34.9,34.3,8.5,10.6,48.4,51.1,62.4,37.6,62,38,67.9,77.897,81.078,1.653,62.324,72.6,74.4,1.035,1.093,43.482,-0.9
2024,3,AE,-5.7,100.9,106.6,0.347,150,57,93,38,48.8,50.1,28.5,33.8,17.2,15.9,26,71.6,28.4,74,71.4,49.8,51.3,31.3,32,9.4,10.2,46.7,48.7,64,36,64.4,35.6,70.7,76.776,79.091,2.147,6.236,69.8,72.3,0.996,1.057,17.208,-6.4
2024,4,Amer,3.3,108.1,104.8,0.588,161,64,97,39.7515528,50.1,50.7,31.7,35.3,17.1,15.8,30,68.8,31.2,70,68.2,49.8,49.9,33.7,34.6,9.6,10.4,48.7,53.3,61.3,38.7,61.4,38.6,68.3,77.293,80.347,2.237,30.455,70.3,73.4,1.05,1.094,26.317,-2.8
2024,5,ASun,-8,103.5,111.5,0.298,195,50,145,25.64102564,49.9,54.1,27.9,34.7,16.7,15.1,27.3,69.2,30.8,72.7,69.3,48.6,53.9,34.6,36.3,7.8,9.9,45.5,49.8,60.2,39.8,62.6,37.4,69,76.777,79.668,2.026,8.164,72.8,72.2,1.034,1.142,18.353,-8
2024,6,B10,12.8,113.5,100.7,0.798,153,49,104,32.02614379,49.5,52.1,30.9,36.5,16.6,15.2,28.6,69.9,30.1,71.4,67.5,48.4,51.1,34.3,36,9,9.6,50.7,55.2,65.1,34.9,65,35,67.6,77.912,81.161,1.982,57.333,73.8,72.8,1.043,1.112,52.53,-0.5
2024,7,B12,13.7,113,99.3,0.816,140,50,90,35.71428571,49.4,52.2,30.2,38.3,18,17.2,30.8,70.6,29.4,69.2,67.6,49.9,51.5,32.3,35.6,9.4,9.2,51.3,56.9,62.8,37.2,62.9,37.1,67.6,77.588,80.916,2.096,48.607,71,73.6,1.026,1.088,55.228,0.11
2024,8,BE,13.2,113.3,100.1,0.806,128,51,77,39.84375,50.2,52,26.8,29.8,16.5,15.8,28.2,69.8,30.2,71.8,67.5,49.9,51,33.8,35.8,9.7,11,50.9,55.1,61.2,38.8,61.6,38.4,67.7,77.722,80.772,2.102,50.583,75.4,75.5,1.048,1.101,51.39,0.09
2024,9,BSky,-7.1,102.5,109.6,0.316,157,57,100,36.30573248,50.6,54.6,31.2,35.9,18,16.3,25.8,72.3,27.7,74.2,67.8,51.7,54.9,32.5,35.9,6.7,9.5,48.8,52.4,62,38,63.3,36.7,68.2,77.249,80.202,2.057,4.159,72.4,71.9,1.021,1.114,17.578,-6.2
2024,10,BSth,-3.2,104.9,108.1,0.415,130,46,84,35.38461538,49.3,52,35.2,37.1,16.7,16.7,29.7,68.9,31.1,70.3,68.1,48.9,52.1,33.3,34.5,7.5,10.4,44,49.2,65.1,34.9,62.9,37.1,68.2,76.79,79.666,2.237,8.169,69.8,73.1,1.042,1.098,19.043,-5.5
2024,11,BW,-2.4,102.4,104.8,0.434,163,63,100,38.65030675,48.5,50.1,33.3,38.5,18.2,17.3,28.2,71,29,71.8,68.6,48.3,50.5,32.7,33,8.1,9.2,46.6,52.4,66.4,33.6,64.2,35.8,68.7,77.262,80.183,2.091,8.247,72.5,72.3,1.006,1.052,18.917,-5.2
2024,12,CAA,-4.6,104.3,108.9,0.378,205,66,139,32.19512195,49.2,52.6,28.9,31.4,16.4,15.8,28.8,69.9,30.1,71.2,67.1,48.9,52.4,33,35.4,7.9,9.8,47.8,52,60.9,39.1,61,39,67.8,77.371,79.873,1.899,10.733,71.6,72.4,1.035,1.107,18.82,-6.1
