YEAR,CONF ID,CONF,BADJ EM,BADJ O,BADJ D,BARTHAG,G,W,L,WIN%,EFG%,EFGD%,FTR,FTRD,TOV%,TOV%D,OREB%,DREB%,OP OREB%,OP DREB%,RAW T,2PT%,2PT%D,3PT%,3PT%D,BLK%,BLKED%,AST%,OP AST %,2PTR,3PTR,2PTRD,3PTRD,BADJ T,AVG HGT,EFF HGT,EXP,TALENT,FT%,OP FT%,PPPO,PPPD,ELITE SOS,WAB
2024,1,A10,5.7,108,102.3,0.651,241,169,72,70.12448133,52.4,47.8,35.2,29.5,15.9,17.5,28.9,72,28,71.1,67.8,52.3,46.8,35,33,11.7,9.2,55,50.2,59.8,40.2,61.1,38.9,68.2,77.133,80.264,1.884,18.386,71.3,71.5,1.095,0.999,8.418,-2.7
2024,2,ACC,13,111.9,98.9,0.805,250,180,70,72,52.7,48.7,33,26.7,14.7,17.9,29.5,73.8,26.2,70.5,68.6,52.6,48,35.3,33.2,11.5,7.9,51.9,47.7,62.4,37.6,61.6,38.4,68.6,77.897,81.078,1.653,62.324,73.9,71.8,1.122,0.99,15.245,-1.1
2024,3,AE,-5.1,101.7,106.8,0.363,112,70,42,62.5,50.6,48.2,33.4,28.8,16.3,16.3,26.1,72.8,27.2,73.9,70.7,51.3,49.1,32.9,31,9.7,10.2,48.2,44.7,62.7,37.3,65.3,34.7,69.7,76.776,79.091,2.147,6.236,72.8,69.9,1.047,1.005,3.663,-3.9
2024,4,Amer,4.4,108.6,104.2,0.617,215,143,72,66.51162791,51.4,49,37.1,29.8,15.9,17.7,32,70.2,29.8,68,68.6,51.6,48.8,34.1,32.9,10.4,9.3,52.5,49,61.8,38.2,61.4,38.6,68.6,77.293,80.347,2.237,30.455,73.3,70.4,1.109,1.024,8.527,-3.2
2024,5,ASun,-8.1,104.2,112.3,0.297,145,93,52,64.13793103,52.7,51.1,34.1,30.9,14.8,15.6,28.7,70.9,29.1,71.3,68.5,51.7,49.7,36.3,35.6,9.6,8.7,46.9,43.6,61.8,38.2,61.9,38.1,68.3,76.777,79.668,2.026,8.164,73.2,72.7,1.115,1.082,3.242,-3.7
2024,6,B10,17.6,115,97.4,0.871,242,187,55,77.27272727,53.2,47.5,37.6,28,15.2,17.8,31.3,72.2,27.8,68.7,68.7,53.5,46.5,35.2,32.9,10.4,8.4,56.6,48.1,63.8,36.2,64.7,35.3,68.7,77.912,81.161,1.982,57.333,72.1,71.8,1.135,0.985,18.56,0.47
2024,7,B12,20.8,115.1,94.3,0.908,244,193,51,79.09836066,54,46.5,36,27.5,16.8,19.6,32.9,72.4,27.6,67.1,68.5,53.8,46.6,36.3,30.9,11.1,8.6,58.3,49.4,62.3,37.7,62.7,37.3,68.5,77.588,80.916,2.096,48.607,72.8,69.4,1.139,0.939,19.676,0.9
2024,8,BE,15,114.1,99.1,0.835,187,127,60,67.9144385,53.6,48.4,32,25.9,16.5,17,31.9,72,28,68.1,68.6,53.6,47.8,35.7,32.9,11.1,9.4,57.6,50.6,60.6,39.4,63.2,36.8,68.7,77.722,80.772,2.102,50.583,74.5,72.8,1.127,1.007,20.751,-0.8
2024,9,BSky,-3.7,104.7,108.4,0.402,119,74,45,62.18487395,54.1,51.2,33.4,31.7,16.2,17.5,26.6,73.6,26.4,73.4,67.2,53.6,51.3,36.5,34,9.2,7.3,53.5,46.9,61.8,38.2,64.2,35.8,67.5,77.249,80.202,2.057,4.159,72.8,74,1.101,1.047,3.743,-3.8
2024,10,BSth,-4.7,104.2,108.9,0.376,107,65,42,60.74766355,51.9,50.2,41,37.9,17.5,16.9,30.4,71,29,69.6,68.2,51.8,50.7,34.7,32.8,9.3,7,47.5,42,63.3,36.7,65,35,68.3,76.79,79.666,2.237,8.169,71.8,70,1.086,1.05,4.01,-3.9
2024,11,BW,-4.5,102.4,106.9,0.379,146,86,60,58.90410959,50.3,49.4,37.9,34.2,17.2,17.8,29.3,72,28,70.7,68.2,50.8,48.6,33,34,8.9,7.6,50.3,47.2,65.6,34.4,65.7,34.3,68.3,77.262,80.183,2.091,8.247,72.5,72.3,1.06,1.023,4.998,-4.4
2024,12,CAA,-2.2,105,107.2,0.441,174,116,58,66.66666667,51.7,49.4,31.3,26.9,15.9,16.1,29.9,71,29,70.1,66.7,51.5,49.3,34.7,33,9.5,8.3,51.6,47.9,60.7,39.3,61.1,38.9,67.4,77.371,79.873,1.899,10.733,72,71.7,1.091,1.04,5.097,-3.2
2024,13,CUSA,1.4,103.8,102.4,0.539,115,79,36,68.69565217,51.1,48.5,37.6,32.5,18.6,19.7,29.8,71.7,28.3,70.2,68.4,49.7,48.9,35.7,31.9,10,9.1,50.9,44.5,63.1,36.9,64.3,35.7,68.4,76.755,79.895,2.291,12.762,69.9,70.3,1.05,0.982,5.768,-2.9
2024,14,Horz,-7.1,103.9,111,0.319,147,84,63,57.14285714,52.4,52.1,34.4,30.7,16.5,18.7,30.6,69.1,30.9,69.4,69.4,54,52.7,33.1,34.1,9.1,7.7,50.7,51,62.7,37.3,62.5,37.5,68.9,76.512,79.392,2.051,5.578,73.8,72.5,1.102,1.062,3.871,-4.9
