YEAR,CONF ID,CONF,BADJ EM,BADJ O,BADJ D,BARTHAG,G,W,L,WIN%,EFG%,EFGD%,FTR,FTRD,TOV%,TOV%D,OREB%,DREB%,OP OREB%,OP DREB%,RAW T,2PT%,2PT%D,3PT%,3PT%D,BLK%,BLKED%,AST%,OP AST %,2PTR,3PTR,2PTRD,3PTRD,BADJ T,AVG HGT,EFF HGT,EXP,TALENT,FT%,OP FT%,PPPO,PPPD,ELITE SOS,WAB
2024,1,A10,6.8,106.3,99.5,0.681,73,38,35,52.05479452,49.6,48.6,35.3,34,18.4,17.5,28.7,69.8,30.2,71.3,66.6,48.6,49.2,34.1,31.8,10,11,52,50.6,61.2,38.8,62.7,37.3,67.1,77.133,80.264,1.884,18.386,73.2,70.7,1.027,1.029,23.554,-0.8
2024,2,ACC,13.8,113.1,99.3,0.817,73,38,35,52.05479452,50.3,50.1,35,32.2,16.3,17,27.4,68.4,31.6,72.6,68.7,51.3,51.1,32.5,32.3,9.2,9.3,51.7,51.3,62.9,37.1,63.5,36.5,68.7,77.897,81.078,1.653,62.324,75.5,73.7,1.058,1.068,35.818,-0.08
2024,3,AE,2.2,105.2,103,0.561,8,6,2,75,53.8,47.4,36.6,36.9,16.2,18.1,22.7,68.3,31.7,77.3,68,52.6,45.9,37,33.5,12,6.7,47.4,48.5,59.9,40.1,66.7,33.3,69.3,76.776,79.091,2.147,6.236,73.3,65.7,1.077,1.002,8.703,-0.1
2024,4,Amer,5.4,106.9,101.5,0.645,66,30,36,45.45454545,49,50.2,33.2,33.4,16.4,17.3,28.2,68.8,31.2,71.8,68.8,48.3,49.9,33.5,33.8,11,10.9,49.2,52.6,62.9,37.1,62,38,68.7,77.293,80.347,2.237,30.455,71.3,70.3,1.033,1.058,23.939,-1
2024,5,ASun,-6.8,103.3,110.1,0.325,15,10,5,66.66666667,51.1,50.9,35.1,32.1,17.7,18.2,33.5,70.6,29.4,66.5,69,52,50.4,33,34.4,9.8,7,44.4,47,63.9,36.1,58.6,41.4,68.9,76.777,79.668,2.026,8.164,74.8,74.9,1.084,1.059,6.003,-0.3
2024,6,B10,17,113.7,96.7,0.866,65,34,31,52.30769231,50.3,49.3,33.8,32.6,16.4,16.6,30.8,70.4,29.6,69.2,68.4,49.7,49,34.2,33.2,9.6,9.4,53.3,55.3,65.2,34.8,64.5,35.5,68.3,77.912,81.161,1.982,57.333,72.4,74.5,1.073,1.051,38.369,0.04
2024,7,B12,16.1,112.2,96.1,0.856,73,41,32,56.16438356,49.2,48.4,34,35.8,17.6,17.2,31.3,71.9,28.1,68.7,69,48.8,48.1,33.3,32.6,9.8,10.5,55,51.8,62.2,37.8,61.4,38.6,69.2,77.588,80.916,2.096,48.607,73.2,74.1,1.051,1.024,37.419,0.18
2024,8,BE,18.2,112.5,94.3,0.884,45,25,20,55.55555556,49.6,48.9,29,30.3,15.4,16.6,27.8,73.9,26.1,72.2,68.3,50.9,48.8,31.8,32.6,9.5,9.8,54.7,52.9,60.4,39.6,62.2,37.8,68.4,77.722,80.772,2.102,50.583,74.7,72.3,1.05,1.018,38.931,0.21
2024,9,BSky,-4.3,103.4,107.7,0.385,31,14,17,45.16129032,51.6,52.4,31.8,32.4,17.5,17.2,26.9,72.5,27.5,73.1,67.5,52.6,52.9,33.5,34.4,7.4,7.8,44.6,41.6,58.2,41.8,62.5,37.5,68.7,77.249,80.202,2.057,4.159,75.8,72.1,1.057,1.057,7.195,-1.4
2024,10,BSth,-1.5,101.4,102.9,0.458,29,16,13,55.17241379,48.7,48.1,34.6,34.1,17.1,16.1,28.1,74,26,71.9,67.3,47.1,49.9,34.4,30,8.7,9,52.5,51.1,63.3,36.7,64.6,35.4,67.3,76.79,79.666,2.237,8.169,68.7,74,1.014,1.02,11.266,-0.9
2024,11,BW,-1.7,104.7,106.4,0.454,33,19,14,57.57575758,50.7,49.5,34.2,33.1,16.7,16.4,28.5,71.6,28.4,71.5,67.8,50.2,48.7,34.6,33.9,7.7,6.3,51.4,50.5,67.7,32.3,65.2,34.8,67.6,77.262,80.183,2.091,8.247,71.6,72.6,1.058,1.047,8.902,-0.9
2024,12,CAA,-3.9,102.1,106,0.394,61,29,32,47.54098361,48.4,49.8,33.2,29.7,16.8,16.1,29,70.4,29.6,71,67.1,48.7,49.6,32,33.4,8.6,9.7,49.1,48.1,60.5,39.5,61.1,38.9,67.6,77.371,79.873,1.899,10.733,72.6,73.1,1.029,1.058,11.892,-1.5
2024,13,CUSA,-2.4,101.8,104.2,0.433,37,17,20,45.94594595,48.8,51.7,33.5,36.4,19.2,19.9,29,71.3,28.7,71,68.8,49.3,51.3,31.9,34.9,8.3,9.9,47.9,46.8,64.7,35.3,63.1,36.9,68.4,76.755,79.895,2.291,12.762,69.8,71.7,1.001,1.032,12.164,-1.5
2024,14,Horz,-4.2,104.8,109,0.389,19,10,9,52.63157895,50.3,50.9,30.2,30.2,15.6,15.7,29.9,70.2,29.8,70.1,69.9,50.6,51.9,33.1,33,9.9,9.9,49.5,57.2,64,36,59.4,40.6,70.1,76.512,79.392,2.051,5.578,73,74.4,1.077,1.078,8.471,-0.6
2024,35,ind,-10.6,98,108.6,0.235,2,1,1,50,55.5,55.7,52.7,17.6,23.5,25.5,33.8,61.8,38.2,66.2,72.5,58.2,59.8,32.3,31.8,6.9,7.6,32.1,31.8,71.8,28.2,66.4,33.6,69.7,76.853,78.919,1.879,13.259,67.2,65.2,1.051,1.051,4.39,-0.9
2024,15,Ivy,5.1,105.3,100.2,0.639,17,9,8,52.94117647,51.5,49.5,27.4,25.2,17.1,16.1,27.5,73.4,26.6,72.5,68.7,53.6,51.1,32.3,31.2,8.2,9.2,54.3,52.5,60,40,62.6,37.4,69,77.136,79.714,1.73,7.799,63.8,67,1.034,1.01,15.177,-0.5
2024,16,MAAC,-6.3,98,104.3,0.328,30,13,17,43.33333333,47.9,48.8,29,31.9,17.8,18,29.2,70.5,29.5,70.8,65.4,48.3,48.8,31.4,32.4,9.7,10.7,53.4,48.6,64.1,35.9,64.7,35.3,65.1,76.958,79.746,1.789,4.727,69.3,70,0.994,1.008,6.999,-1.2
2024,17,MAC,-1.7,101.4,103.1,0.452,41,18,23,43.90243902,50,49.6,31,30.7,18.6,17.8,28.9,70.4,29.6,71.1,68.7,50.2,50.3,33.1,32.3,8.8,8.4,44.4,50.2,62.9,37.1,61.6,38.4,68.4,77.026,80.135,1.87,8.723,69.2,70.1,1.015,1.025,12.667,-1.3
2024,18,MEAC,-11.4,97.6,109,0.219,28,11,17,39.28571429,48,50.2,41.7,43.6,21,21.3,33.9,66.8,33.2,66.1,68.7,46.9,47.9,33.6,36,8.8,9.4,47.7,49.5,68.3,31.7,63.4,36.6,69,76.666,79.856,1.827,5.995,72.6,70.5,1.012,1.028,4.264,-1.9
2024,19,MVC,7.5,104.9,97.4,0.701,52,30,22,57.69230769,50.8,48.1,32.2,30.9,16.4,16.9,24.6,74,26,75.4,68.9,50.5,48.7,34.1,31.5,7.3,8.3,53.7,48.1,59,41,62,38,68.6,76.862,80.011,1.961,8.079,71.6,71.1,1.035,0.996,17.168,-0.8
2024,20,MWC,11.8,108.9,97.1,0.789,55,34,21,61.81818182,50.4,47.6,36.2,32.2,16.8,17.6,29.2,71.3,28.7,70.8,68.7,52.2,49.6,31.3,29.5,9.6,9.3,51.3,54.4,65.3,34.7,62.6,37.4,68.5,77.427,80.341,2.141,26.222,72.9,74.4,1.057,1.009,26.463,-0.14
2024,21,NEC,-1.1,102.6,103.7,0.469,5,3,2,60,51.7,44.8,41.7,38.9,18.8,18.6,24.6,73,27,75.4,72.7,52.6,46.6,33.6,27.6,5.7,4.1,50,47.1,59,41,64.8,35.2,73.1,76.308,79.301,1.82,1.807,78.5,70.7,1.062,0.939,3.488,-0.19
2024,22,OVC,-8.6,97.7,106.3,0.275,24,13,11,54.16666667,48.4,48.3,29.6,34,17.8,18.3,30,69.6,30.4,70,68.2,48.5,48.9,32.1,31.5,12.1,11.6,48.2,47.9,64.2,35.8,64,36,68.6,76.815,79.696,2.117,9.536,72.4,70.5,1.016,1.014,5.412,-0.8
2024,24,P12,9.7,107.3,97.6,0.748,66,24,42,36.36363636,48.5,50,31.6,32.3,18,17,29.2,70.3,29.7,70.8,68.9,50.3,50.5,30.3,32.7,8.2,7.1,52.4,49.4,64.1,35.9,63.2,36.8,68.4,78.223,81.517,1.943,54.262,70.5,71,1.01,1.048,35.597,-1
2024,25,Pat,-13,89,102,0.173,9,3,6,33.33333333,45.7,47.8,20.5,29.9,19.4,17.2,27,72.7,27.3,73,65.7,46.3,46.8,30,33,8.5,8.5,53.2,42.6,57.5,42.5,63.1,36.9,64.9,76.55,79.974,1.647,1.133,70.5,73.3,0.915,0.996,9.004,-0.48
2024,26,SB,-2,104.1,106.1,0.446,52,23,29,44.23076923,49.8,50.1,33.4,34.9,17.1,17.7,30.6,68.7,31.3,69.4,69.5,49.4,48.8,33.7,35.3,10.6,9.4,45.8,48,65.6,34.4,67.3,32.7,68.9,76.981,80.045,2.084,11.173,70.8,70.8,1.05,1.058,11.458,-1.4
2024,27,SC,-3,102.3,105.3,0.418,33,16,17,48.48484848,50.7,50.9,36.8,38.7,17.8,16.9,27.8,73.7,26.3,72.2,69.8,51,50.2,33.5,34.6,9.4,10,47.1,48.9,59.1,40.9,60.6,39.4,69.5,76.369,79.809,1.821,8.358,68.6,67.7,1.036,1.042,8.956,-1.2
