YEAR,CONF ID,CONF,BADJ EM,BADJ O,BADJ D,BARTHAG,G,W,L,WIN%,EFG%,EFGD%,FTR,FTRD,TOV%,TOV%D,OREB%,DREB%,OP OREB%,OP DREB%,RAW T,2PT%,2PT%D,3PT%,3PT%D,BLK%,BLKED%,AST%,OP AST %,2PTR,3PTR,2PTRD,3PTRD,BADJ T,AVG HGT,EFF HGT,EXP,TALENT,FT%,OP FT%,PPPO,PPPD,ELITE SOS,WAB
2024,1,A10,5.6,108.1,102.5,0.648,481,272,209,56.54885655,51.3,49.3,33.6,32.3,16.7,16.8,28.3,71.7,28.3,71.7,67.6,50.7,48.5,34.9,33.7,10.7,10.2,52.9,51.6,60.2,39.8,61.2,38.8,68,77.133,80.264,1.884,18.386,72.2,71.8,1.067,1.035,18.353,-5.8
2024,2,ACC,12,111.7,99.7,0.787,492,282,210,57.31707317,51.5,49.9,31.4,29.8,15.7,16.7,28.5,72.6,27.4,71.5,68.4,51.1,49.8,34.7,33.4,10.1,9,50.7,49.5,62.5,37.5,62.1,37.9,68.4,77.897,81.078,1.653,62.324,73.8,73.1,1.083,1.037,27.996,-2
2024,3,AE,-5.2,101.4,106.6,0.36,270,133,137,49.25925926,49.6,49.2,30.7,31.8,16.8,16.1,26,72,28,74,71,50.5,50.2,32.1,31.6,9.6,10.1,47.3,47.1,63.3,36.7,64.8,35.2,70.2,76.776,79.091,2.147,6.236,71.3,71.2,1.02,1.034,11.337,-10.4
2024,4,Amer,4.2,108.2,104,0.612,442,237,205,53.6199095,50.6,49.8,34.6,32.4,16.4,17,30.7,69.5,30.5,69.3,68.5,50.5,49.4,33.8,33.6,10.2,9.9,50.7,51.2,61.8,38.2,61.5,38.5,68.5,77.293,80.347,2.237,30.455,72,71.6,1.077,1.054,17.309,-7
2024,5,ASun,-7.9,103.8,111.7,0.301,355,153,202,43.09859155,51.1,52.7,30.7,33,15.9,15.4,28.1,70,30,71.9,69,50,52.1,35.2,35.9,8.6,9.3,46,47.2,61,39,62.2,37.8,68.7,76.777,79.668,2.026,8.164,73.1,72.5,1.069,1.114,11.659,-12
2024,6,B10,15.9,114.3,98.4,0.849,460,270,190,58.69565217,51.6,49.3,34.8,31.5,15.9,16.8,30.3,71.2,28.8,69.7,68.3,51.3,48.3,34.8,33.9,9.8,8.9,54.3,51.6,64.4,35.6,64.8,35.2,68.3,77.912,81.161,1.982,57.333,72.6,72.6,1.096,1.036,32.658,0.01
2024,7,B12,17.7,113.9,96.2,0.875,457,284,173,62.14442013,51.8,48.5,33.9,32.1,17.3,18.5,31.9,71.8,28.2,68.1,68.3,51.8,48.3,34.6,32.6,10.4,9.1,55.7,52.2,62.4,37.6,62.6,37.4,68.4,77.588,80.916,2.096,48.607,72.4,71.7,1.09,0.998,33.401,1.2
2024,8,BE,14.8,113.6,98.8,0.833,360,203,157,56.38888889,51.9,49.7,29.8,27.8,16.4,16.5,30.1,71.5,28.5,69.9,68.1,51.9,49,34.6,33.9,10.4,10,55,52.6,60.8,39.2,62.5,37.5,68.3,77.722,80.772,2.102,50.583,74.8,73.7,1.09,1.042,33.917,-0.46
2024,9,BSky,-5.5,103.5,109,0.355,307,145,162,47.23127036,52,53,32.1,33.9,17.3,16.9,26.2,72.8,27.2,73.8,67.5,52.5,53.3,34.2,35,7.7,8.5,50.3,49.3,61.5,38.5,63.6,36.4,68,77.249,80.202,2.057,4.159,72.9,72.7,1.055,1.082,11.167,-11.4
2024,10,BSth,-3.5,104.3,107.8,0.406,266,127,139,47.7443609,50.3,50.8,37.4,37.1,17.1,16.7,29.8,70.3,29.7,70.2,68.1,49.9,51.3,34,33.4,8.3,8.9,46.3,46.6,64.2,35.8,64,36,68.1,76.79,79.666,2.237,8.169,70.6,71.9,1.057,1.071,12.148,-10.4
