YEAR,TEAM NO,TEAM,SEED,ROUND,POWER RATING,POWER RATING RANK
2023,993,Houston,1,16,93.2,13
2023,1011,Alabama,1,16,92.6,16
2023,986,Kansas,1,32,89.6,49
2023,963,Purdue,1,64,89.5,50
2023,957,Texas,2,8,90.1,43
2023,1010,Arizona,2,64,89,59
2023,952,UCLA,2,16,88.3,78
2023,980,Marquette,2,32,87.6,92
2023,995,Gonzaga,3,8,89.9,46
2023,1006,Baylor,3,32,87.1,104
2023,985,Kansas St.,3,8,84.5,180
2023,944,Xavier,3,16,84.4,186
2023,1002,Connecticut,4,1,89.2,57
2023,958,Tennessee,4,16,86.9,109
2023,990,Indiana,4,32,85.8,143
2023,946,Virginia,4,64,83.8,205
2023,999,Duke,5,32,87.1,104
2023,961,San Diego St.,5,2,86,136
2023,962,Saint Mary's,5,32,85.9,140
2023,977,Miami FL,5,4,83.6,210
2023,1001,Creighton,6,8,87.6,92
2023,982,Kentucky,6,32,86,136
2023,959,TCU,6,32,85.4,153
2023,987,Iowa St.,6,64,84.5,180
2023,956,Texas A&M,7,64,85.1,158
2023,976,Michigan St.,7,16,83.8,205
2023,969,Northwestern,7,32,82.2,263
2023,974,Missouri,7,32,81.4,291
2023,1008,Arkansas,8,16,85.1,158
2023,978,Memphis,8,64,84.9,164
2023,979,Maryland,8,32,84.5,180
2023,988,Iowa,8,64,84.4,186
2023,1007,Auburn,9,32,84.9,164
2023,991,Illinois,9,64,84.5,180
2023,945,West Virginia,9,64,84.2,194
2023,997,Florida Atlantic,9,4,82.6,246
2023,949,Utah St.,10,64,83.5,214
2023,950,USC,10,64,83,228
2023,967,Penn St.,10,32,82.8,240
2023,1005,Boise St.,10,64,82.6,246
2023,964,Providence,11,64,82.8,240
2023,975,Mississippi St.,11,68,81.8,272
2023,971,North Carolina St.,11,64,81.4,291
2023,1009,Arizona St.,11,64,80.3,318
2023,966,Pittsburgh,11,32,79.7,332
2023,972,Nevada,11,68,79.6,335
2023,948,VCU,12,64,81.7,278
2023,1000,Drake,12,64,81.2,302
2023,1003,College of Charleston,12,64,79.8,329
2023,968,Oral Roberts,12,64,79.2,343
2023,989,Iona,13,64,79.6,335
2023,983,Kent St.,13,64,79.4,340
2023,996,Furman,13,32,78.2,358
2023,981,Louisiana Lafayette,13,64,76.3,386
2023,994,Grand Canyon,14,64,75.9,394
2023,953,UC Santa Barbara,14,64,75.5,400
2023,973,Montana St.,14,64,75.3,404
2023,984,Kennesaw St.,14,64,73.3,422
2023,947,Vermont,15,64,76.3,386
2023,1004,Colgate,15,64,76.2,389
2023,965,Princeton,15,16,75.4,403
2023,951,UNC Asheville,15,64,73,427
2023,970,Northern Kentucky,16,64,72.9,428
2023,955,Texas A&M Corpus Chris,16,64,69.9,455
2023,992,Howard,16,64,69.3,459
2023,960,Southeast Missouri St.,16,68,67.7,468
2023,954,Texas Southern,16,68,66.6,473
2023,998,Fairleigh Dickinson,16,32,64.4,476
2022,925,Gonzaga,1,16,96.5,1
2022,918,Kansas,1,1,91.3,26
2022,941,Arizona,1,16,90.9,34
2022,924,Houston,1,8,88.7,69
2022,938,Baylor,1,32,87.7,89
2022,917,Kentucky,2,64,91.2,29
2022,881,Villanova,2,4,90.2,42
2022,939,Auburn,2,32,89.5,50
2022,927,Duke,2,4,89.3,54
2022,890,Tennessee,3,32,88.9,65
2022,886,Texas Tech,3,16,88.7,69
2022,879,Wisconsin,3,32,84.7,172
2022,884,UCLA,4,16,89.8,47
2022,900,Purdue,4,16,89.1,58
2022,940,Arkansas,4,8,86.8,111
2022,923,Illinois,4,32,86.8,111
2022,901,Providence,4,16,82.7,244
2022,921,Iowa,5,64,89,59
2022,931,Connecticut,5,64,86.4,125
2022,897,Saint Mary's,5,32,84.3,193
2022,889,Texas,6,32,86.3,129
2022,914,LSU,6,64,85.7,146
2022,942,Alabama,6,64,85.2,157
2022,932,Colorado St.,6,64,81.7,278
2022,902,Ohio St.,7,32,84.2,194
2022,909,Michigan St.,7,32,83.5,214
2022,883,USC,7,64,83,228
2022,907,Murray St.,7,32,81.3,294
2022,904,North Carolina,8,2,84,199
2022,895,San Diego St.,8,64,83.5,214
2022,893,Seton Hall,8,64,82.6,246
2022,937,Boise St.,8,64,82.5,253
2022,912,Memphis,9,32,84.9,164
2022,913,Marquette,9,64,81.9,267
2022,891,TCU,9,32,81.9,267
2022,930,Creighton,9,32,81.5,288
2022,915,Loyola Chicago,10,64,83.7,208
2022,929,Davidson,10,64,81.8,272
2022,894,San Francisco,10,64,81.8,272
2022,911,Miami FL,10,8,81.1,308
2022,910,Michigan,11,16,84.7,172
2022,880,Virginia Tech,11,64,84.7,172
2022,903,Notre Dame,11,32,81.6,285
2022,898,Rutgers,11,68,81.1,308
2022,920,Iowa St.,11,16,80.6,317
2022,922,Indiana,12,64,83,228
2022,885,UAB,12,64,81.2,302
2022,899,Richmond,12,32,79.9,326
2022,877,Wyoming,12,68,78.5,351
2022,906,New Mexico St.,12,32,77.7,368
2022,882,Vermont,13,64,80.3,318
2022,892,South Dakota St.,13,64,79.7,332
2022,934,Chattanooga,13,64,78.7,348
2022,943,Akron,13,64,76.7,381
2022,933,Colgate,14,64,76.4,384
2022,876,Yale,14,64,74.7,410
2022,908,Montana St.,14,64,74.3,412
2022,916,Longwood,14,64,73.4,421
2022,896,Saint Peter's,15,8,74.2,415
2022,928,Delaware,15,64,73.6,418
2022,919,Jacksonville St.,15,64,73.2,426
2022,935,Cal St. Fullerton,15,64,71.8,438
2022,926,Georgia St.,16,64,73.5,419
2022,878,Wright St.,16,64,73.5,419
2022,936,Bryant,16,68,71.6,442
2022,905,Norfolk St.,16,64,71.4,443
2022,887,Texas Southern,16,64,70.4,451
2022,888,Texas A&M Corpus Chris,16,68,67.3,470
2021,856,Gonzaga,1,2,96.5,1
2021,852,Illinois,1,32,93.9,9
2021,871,Baylor,1,1,93.6,12
2021,844,Michigan,1,8,88.6,72
2021,850,Iowa,2,32,90.8,36
2021,853,Houston,2,4,90.6,40
2021,835,Ohio St.,2,64,89.4,53
2021,874,Alabama,2,16,88.8,68
2021,823,Texas,3,64,86.8,111
2021,811,West Virginia,3,32,86.6,118
2021,872,Arkansas,3,8,86.3,129
2021,849,Kansas,3,32,83.5,214
2021,813,Virginia,4,64,88.1,80
2021,859,Florida St.,4,16,86.8,111
2021,829,Purdue,4,64,86.5,121
2021,833,Oklahoma St.,4,32,84.9,164
2021,864,Creighton,5,16,87,107
2021,866,Colorado,5,32,86,136
2021,824,Tennessee,5,64,85.8,143
2021,814,Villanova,5,16,84.8,168
2021,821,Texas Tech,6,32,86.4,125
2021,817,USC,6,8,85.8,143
2021,827,San Diego St.,6,64,85.6,148
2021,870,BYU,6,64,84.5,180
2021,865,Connecticut,7,64,85.3,155
2021,831,Oregon,7,16,84.6,178
2021,860,Florida,7,32,83,228
2021,869,Clemson,7,64,82.4,256
2021,838,North Carolina,8,64,86.1,133
2021,847,Loyola Chicago,8,16,85.1,158
2021,846,LSU,8,32,85.1,158
2021,834,Oklahoma,8,32,81.2,302
2021,808,Wisconsin,9,32,87.3,98
2021,826,St. Bonaventure,9,64,82.9,236
2021,842,Missouri,9,64,81.8,272
2021,857,Georgia Tech,9,64,79.8,329
2021,845,Maryland,10,32,84.4,186
2021,828,Rutgers,10,32,84.1,198
2021,815,VCU,10,64,81.7,278
2021,812,Virginia Tech,10,64,81.2,302
2021,825,Syracuse,11,16,83.1,223
2021,843,Michigan St.,11,68,82.9,236
2021,816,Utah St.,11,64,82.4,256
2021,819,UCLA,11,4,81.9,267
2021,810,Wichita St.,11,68,79.9,326
2021,863,Drake,11,64,77.6,370
2021,858,Georgetown,12,64,81.3,294
2021,830,Oregon St.,12,8,79.7,332
2021,820,UC Santa Barbara,12,64,78.4,354
2021,809,Winthrop,12,64,78.4,354
2021,837,North Texas,13,32,78.2,358
2021,818,UNC Greensboro,13,64,77.8,367
2021,836,Ohio,13,32,77.5,372
