SEED,PAKE,PAKE RANK,PASE,PASE RANK,GAMES,W,L,WIN%,R64,R32,S16,E8,F4,F2,CHAMP,TOP2,CHAMP%
1,16.4,1,-6.4,14,240,191,49,0.796,60,58,48,36,22,16,11,60,99.90%
11,11.9,2,13.7,1,112,52,60,0.464,60,29,15,5,3,0,0,0,11.40%
3,7.9,3,5.1,3,175,116,59,0.663,60,53,36,18,5,3,1,0,78.50%
15,4.4,4,5.7,2,72,12,60,0.167,60,7,4,1,0,0,0,0,0.00%
7,3.6,5,2.9,5,116,57,59,0.491,60,36,12,4,3,1,1,0,21.20%
12,3.2,6,2.6,6,93,33,60,0.355,60,24,8,1,0,0,0,0,4.50%
8,2.3,7,4.6,4,108,48,60,0.444,60,32,7,3,3,3,0,0,15.00%
4,1.6,8,2.2,8,154,95,59,0.617,60,46,32,9,5,2,1,0,72.20%
16,-1,9,1.2,9,62,2,60,0.032,60,2,0,0,0,0,0,0,0.00%
9,-1.3,10,2.3,7,99,39,60,0.394,60,28,5,4,2,0,0,0,11.70%
13,-3,11,1,10,76,16,60,0.211,60,14,2,0,0,0,0,0,0.60%
2,-6.2,12,-9.7,15,189,130,59,0.688,60,53,37,25,11,3,1,60,96.90%
14,-7.3,13,-2.5,13,67,7,60,0.104,60,7,0,0,0,0,0,0,0.50%
10,-7.3,13,-1.7,12,95,35,60,0.368,60,24,7,3,1,0,0,0,13.20%
5,-8.7,15,-1.5,11,128,68,60,0.531,60,36,18,7,5,2,0,0,49.40%
6,-18.6,16,-19.6,16,104,44,60,0.423,60,31,9,4,0,0,0,0,29.30%
