Year,TeamLeft,PointsLeft,TeamRight,PointsRight
2023,Houston,63,Northern Kentucky,52
2023,Auburn,83,Iowa,75
2023,Miami FL,63,Drake,56
2023,Indiana,71,Kent St.,60
2023,Pittsburgh,59,Iowa St.,41
2023,Xavier,72,Kennesaw St.,67
2023,Penn St.,76,Texas A&M,59
2023,Texas,81,Colgate,61
2023,Kansas,96,Howard,68
2023,Arkansas,73,Illinois,63
2023,Saint Mary's,63,VCU,51
2023,Connecticut,87,Iona,63
2023,TCU,72,Arizona St.,70
2023,Gonzaga,82,Grand Canyon,70
2023,Northwestern,75,Boise St.,67
2023,UCLA,86,UNC Asheville,53
2023,Fairleigh Dickinson,63,Purdue,58
2023,Florida Atlantic,66,Memphis,65
2023,Duke,74,Oral Roberts,51
2023,Tennessee,58,Louisiana Lafayette,55
2023,Kentucky,61,Providence,53
2023,Kansas St.,77,Montana St.,65
2023,Michigan St.,72,USC,62
2023,Marquette,78,Vermont,61
2023,Alabama,96,Texas A&M Corpus Chris,75
2023,Maryland,67,West Virginia,65
2023,San Diego St.,63,College of Charleston,57
2023,Furman,68,Virginia,67
2023,Creighton,72,North Carolina St.,63
2023,Baylor,74,UC Santa Barbara,56
2023,Missouri,76,Utah St.,65
2023,Princeton,59,Arizona,55
2023,Houston,81,Auburn,64
2023,Miami FL,85,Indiana,69
2023,Xavier,84,Pittsburgh,73
2023,Texas,71,Penn St.,66
2023,Arkansas,72,Kansas,71
2023,Connecticut,70,Saint Mary's,55
2023,Gonzaga,84,TCU,81
2023,UCLA,68,Northwestern,63
2023,Florida Atlantic,78,Fairleigh Dickinson,70
2023,Tennessee,65,Duke,52
2023,Kansas St.,75,Kentucky,69
2023,Michigan St.,69,Marquette,60
2023,Alabama,73,Maryland,51
2023,San Diego St.,75,Furman,52
2023,Creighton,85,Baylor,76
2023,Princeton,78,Missouri,63
2023,Miami FL,89,Houston,75
2023,Texas,83,Xavier,71
2023,Connecticut,88,Arkansas,65
2023,Gonzaga,79,UCLA,76
2023,Florida Atlantic,62,Tennessee,55
2023,Kansas St.,98,Michigan St.,93
2023,San Diego St.,71,Alabama,64
2023,Creighton,86,Princeton,75
2023,Miami FL,88,Texas,81
2023,Connecticut,82,Gonzaga,54
2023,Florida Atlantic,79,Kansas St.,76
2023,San Diego St.,57,Creighton,56
2023,San Diego St.,72,Florida Atlantic,71
2023,Connecticut,72,Miami FL,59
2023,Connecticut,76,San Diego St.,59
2022,Kansas,83,Texas Southern,56
2022,Creighton,72,San Diego St.,69
2022,Richmond,67,Iowa,63
2022,Providence,66,South Dakota St.,57
2022,Iowa St.,59,LSU,54
2022,Wisconsin,67,Colgate,60
2022,Miami FL,68,USC,66
2022,Auburn,80,Jacksonville St.,61
2022,Gonzaga,93,Georgia St.,72
2022,Memphis,64,Boise St.,53
2022,New Mexico St.,70,Connecticut,63
2022,Arkansas,75,Vermont,71
2022,Notre Dame,78,Alabama,64
2022,Texas Tech,97,Montana St.,62
2022,Michigan St.,74,Davidson,73
2022,Duke,78,Cal St. Fullerton,61
2022,Baylor,85,Norfolk St.,49
2022,North Carolina,95,Marquette,63
2022,Saint Mary's,82,Indiana,53
2022,UCLA,57,Akron,53
2022,Texas,81,Virginia Tech,73
2022,Purdue,78,Yale,56
2022,Murray St.,92,San Francisco,87
2022,Saint Peter's,85,Kentucky,79
2022,Arizona,87,Wright St.,70
2022,TCU,69,Seton Hall,42
2022,Houston,82,UAB,68
2022,Illinois,54,Chattanooga,53
2022,Michigan,75,Colorado St.,63
2022,Tennessee,88,Longwood,56
2022,Ohio St.,54,Loyola Chicago,41
2022,Villanova,80,Delaware,60
2022,Kansas,79,Creighton,71
2022,Providence,79,Richmond,51
2022,Iowa St.,54,Wisconsin,49
2022,Miami FL,79,Auburn,61
2022,Gonzaga,82,Memphis,78
2022,Arkansas,53,New Mexico St.,48
2022,Texas Tech,59,Notre Dame,53
2022,Duke,85,Michigan St.,76
2022,North Carolina,93,Baylor,86
2022,UCLA,72,Saint Mary's,56
2022,Purdue,81,Texas,71
2022,Saint Peter's,70,Murray St.,60
2022,Arizona,85,TCU,80
2022,Houston,68,Illinois,53
2022,Michigan,76,Tennessee,68
2022,Villanova,71,Ohio St.,61
2022,Kansas,66,Providence,61
2022,Miami FL,70,Iowa St.,56
2022,Arkansas,74,Gonzaga,68
2022,Duke,78,Texas Tech,73
2022,North Carolina,73,UCLA,66
2022,Saint Peter's,67,Purdue,64
2022,Houston,72,Arizona,60
2022,Villanova,63,Michigan,55
2022,Kansas,76,Miami FL,50
2022,Duke,78,Arkansas,69
2022,North Carolina,69,Saint Peter's,49
2022,Villanova,50,Houston,44
2022,North Carolina,81,Duke,77
2022,Kansas,81,Villanova,65
2022,Kansas,72,North Carolina,69
2021, Illinois,78,Drexel,49
2021, Loyola Chicago,71,Georgia Tech,60
2021, Oregon St.,70,Tennessee,56
2021, Oklahoma St.,69,Liberty,60
2021, Syracuse,78,San Diego St.,62
2021, West Virginia,84,Morehead St.,67
2021, Rutgers,60,Clemson,56
2021, Houston,87,Cleveland St.,56
2021, Gonzaga,98,Norfolk St.,55
2021, Oklahoma,72,Missouri,68
2021, Creighton,63,UC Santa Barbara,62
2021, Ohio,62,Virginia,58
2021, USC,72,Drake,56
2021, Kansas,93,Eastern Washington,84
2021, Oregon, Iowa, Canceled
2021, Iowa,86,Grand Canyon,74
2021, Michigan,82,Texas Southern,66
2021, LSU,76,St. Bonaventure,61
2021, Colorado,96,Georgetown,73
2021, Florida St.,64,UNC Greensboro,0
2021, UCLA,73,BYU,62
2021, Abilene Christian,53,Texas,52
2021, Maryland,63,Connecticut,54
2021, Alabama,68,Iona,55
2021, Baylor,79,Hartford,55
2021, Wisconsin,85,North Carolina,62
2021, Villanova,73,Winthrop,63
2021, North Texas,78,Purdue,69
2021, Texas Tech,65,Utah St.,53
2021, Arkansas,85,Colgate,68
2021, Florida,75,Virginia Tech,70
2021, Oral Roberts,75,Ohio St.,72
2021, Loyola Chi.,71,Illinois,58
2021, Oregon St.,80,Oklahoma St.,70
2021, Syracuse,75,West Virginia,72
2021, Houston,63,Rutgers,60
2021, Gonzaga,87,Oklahoma,71
2021, Creighton,72,Ohio,58
