COACH ID,COACH,PAKE,PAKE RANK,PASE,PASE RANK,GAMES,W,L,WIN%,R64,R32,S16,E8,F4,F2,CHAMP,TOP2,F4%,CHAMP%
1,Al Skinner,-0.4,209,-0.9,245,1,0,1,0,1,0,0,0,0,0,0,0,0.40%,0.00%
2,Amir Abdur-Rahim,-0.2,153,-0.2,156,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
3,Andrew Toole,0,94,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
4,Andy Enfield,1.6,30,2,26,12,6,6,0.5,6,3,2,1,0,0,0,0,16.10%,3.30%
5,Andy Kennedy,-0.3,188,-0.7,233,4,1,3,0.25,3,1,0,0,0,0,0,0,2.80%,0.20%
6,Anthony Evans,0.9,49,0.9,47,2,1,1,0.5,1,1,0,0,0,0,0,0,0.00%,0.00%
7,Anthony Grant,-1.4,275,-1.3,270,2,0,2,0,2,0,0,0,0,0,0,0,4.80%,0.40%
8,Archie Miller,1.8,27,0.9,47,8,4,4,0.5,4,2,1,1,0,0,0,0,3.40%,0.10%
9,Avery Johnson,0.5,69,0.4,73,2,1,1,0.5,1,1,0,0,0,0,0,0,0.60%,0.00%
10,Ben Howland,-0.8,240,-1.5,278,11,6,5,0.545,5,3,1,1,1,0,0,1,47.20%,11.50%
11,Ben Jacobson,0.5,69,1.1,42,8,4,4,0.5,4,3,1,0,0,0,0,0,13.10%,1.60%
12,Bill Carmody,0,94,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
13,Bill Coen,-0.3,188,-0.4,207,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
14,Bill Grier,0.7,54,0.8,54,2,1,1,0.5,1,1,0,0,0,0,0,0,0.10%,0.00%
15,Bill Self,4.2,11,-1.8,286,53,40,13,0.755,15,15,9,7,4,3,2,12,98.80%,73.20%
16,Billy Donovan,3.2,18,4,14,18,13,5,0.722,5,4,4,4,1,0,0,2,68.60%,27.10%
17,Billy Gillespie,-0.3,188,-0.6,222,1,0,1,0,1,0,0,0,0,0,0,0,0.30%,0.00%
18,Billy Kennedy,1.5,33,2,26,8,5,3,0.625,3,3,2,0,0,0,0,0,18.60%,2.00%
19,BJ Hill,-0.1,117,-0.1,131,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
20,Blaine Taylor,-0.5,222,-0.3,185,3,1,2,0.333,2,1,0,0,0,0,0,0,4.40%,0.40%
21,Bo Ryan,2.1,25,3.2,19,25,17,8,0.68,8,7,5,2,2,1,0,2,76.50%,28.90%
22,Bob Burton,-0.2,153,-0.2,156,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
23,Bob Hoffman,0.8,51,0.8,54,2,1,1,0.5,1,1,0,0,0,0,0,0,0.10%,0.00%
24,Bob Huggins,-1.1,264,-0.2,156,25,14,11,0.56,11,7,5,1,1,0,0,1,64.20%,17.60%
25,Bob Marlin,-0.4,209,-0.4,207,2,0,2,0,2,0,0,0,0,0,0,0,0.30%,0.00%
26,Bob Martin,-0.2,153,-0.2,156,1,0,1,0,1,0,0,0,0,0,0,0,0.20%,0.00%
27,Bob McKillop,-0.9,247,0.3,84,9,3,6,0.333,6,1,1,1,0,0,0,0,11.20%,2.30%
28,Bob Richey,0.7,54,0.8,54,2,1,1,0.5,1,1,0,0,0,0,0,0,0.20%,0.00%
29,Bob Thomason,-0.2,153,-0.1,131,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
30,Bob Williams,-0.3,188,-0.2,156,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
31,Bobby Braswell,-0.1,117,-0.1,131,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
32,Bobby Hurley,-1.5,277,-1.8,286,3,0,3,0,3,0,0,0,0,0,0,0,1.40%,0.10%
33,Brad Brownell,-1,257,-0.6,222,5,2,3,0.4,3,1,1,0,0,0,0,0,11.90%,1.60%
34,Brad Greenberg,0,94,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
35,Brad Stevens,6.5,4,7.5,3,17,12,5,0.706,5,4,2,2,2,2,0,0,25.50%,3.70%
36,Brad Underwood,-2.6,299,-3.2,302,11,4,7,0.364,7,4,0,0,0,0,0,1,37.20%,8.40%
37,Brett Reed,0.5,69,0.9,47,3,1,2,0.333,2,1,0,0,0,0,0,0,0.60%,0.00%
38,Brian Dutcher,0.7,54,1.4,35,9,5,4,0.556,4,1,1,1,1,1,0,0,21.00%,3.70%
39,Brian Gregory,0.7,54,0.4,73,2,1,1,0.5,1,1,0,0,0,0,0,0,0.40%,0.00%
40,Brian Jones,-0.1,117,-0.1,131,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
41,Brian Wardle,0,94,-0.1,131,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
42,Brooks Thompson,0,94,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
43,Bruce Pearl,1.8,27,1.7,32,20,12,8,0.6,8,6,3,2,1,0,0,2,45.50%,8.10%
44,Bruce Weber,-2.3,294,-2.7,299,11,4,7,0.364,7,2,1,1,0,0,0,0,20.40%,2.40%
45,Bryce Drew,-1.9,289,-1.3,270,5,0,5,0,5,0,0,0,0,0,0,0,2.20%,0.20%
46,Buzz Williams,-0.2,153,-0.2,156,19,10,9,0.526,9,5,4,1,0,0,0,0,39.70%,5.80%
47,Casey Alexander,-0.1,117,-0.1,131,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
48,Chris Beard,3.4,16,4.7,8,16,11,5,0.688,5,5,2,2,1,1,0,0,44.30%,13.50%
49,Chris Collins,0.6,64,0.4,73,4,2,2,0.5,2,2,0,0,0,0,0,0,3.00%,0.30%
50,Chris Holtmann,-1.4,275,-1.2,263,14,7,7,0.5,7,6,1,0,0,0,0,1,35.00%,5.30%
51,Chris Jans,-0.2,153,-0.5,213,4,1,3,0.25,3,1,0,0,0,0,0,0,1.20%,0.00%
52,Chris Mack,1,45,0.1,90,19,11,8,0.579,8,6,4,1,0,0,0,2,39.40%,6.30%
53,Chris Mooney,1.2,41,1.1,42,6,3,3,0.5,3,2,1,0,0,0,0,0,4.40%,0.30%
54,Cliff Ellis,-0.1,117,0,95,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
55,Craig Neal,-1,257,-0.9,245,1,0,1,0,1,0,0,0,0,0,0,0,3.50%,0.30%
56,Craig Smith,-1.3,271,-1.4,275,2,0,2,0,2,0,0,0,0,0,0,0,2.20%,0.10%
57,Cuonzo Martin,-2.1,290,-1.5,278,6,2,4,0.333,4,1,1,0,0,0,0,0,16.30%,3.30%
58,Cy Alexander,0,94,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
59,Dan D'Antoni,0.7,54,0.8,54,2,1,1,0.5,1,1,0,0,0,0,0,0,0.10%,0.00%
60,Dan Dakich,-0.8,240,-0.7,233,1,0,1,0,1,0,0,0,0,0,0,0,2.10%,0.10%
61,Dan Hurley,1.8,27,2.9,21,12,8,4,0.667,5,3,1,1,1,1,1,0,39.70%,15.50%
62,Dan Monson,-0.6,225,-0.5,213,1,0,1,0,1,0,0,0,0,0,0,0,1.60%,0.20%
63,Dana Altman,5.8,5,6.3,5,22,15,7,0.682,7,7,5,2,1,0,0,1,42.60%,8.20%
64,Danny Kaspar,-0.2,153,-0.2,156,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
65,Danny Manning,-0.3,188,-0.3,185,1,0,1,0,1,0,0,0,0,0,0,0,0.30%,0.00%
66,Danny Sprinkle,-0.4,209,-0.3,185,2,0,2,0,2,0,0,0,0,0,0,0,0.20%,0.00%
67,Darian DeVries,-0.9,247,-1.1,253,2,0,2,0,2,0,0,0,0,0,0,0,1.70%,0.10%
68,Darrin Horn,1.3,38,1.5,33,4,2,2,0.5,2,1,1,0,0,0,0,0,1.60%,0.10%
69,Dave Loos,-0.1,117,-0.1,131,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
70,Dave Paulsen,-0.9,247,-0.8,243,2,0,2,0,2,0,0,0,0,0,0,0,1.70%,0.10%
71,Dave Rice,-1.8,287,-2.2,296,2,0,2,0,2,0,0,0,0,0,0,0,4.30%,0.40%
72,Dave Richman,-0.1,117,-0.1,131,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
73,Dave Rose,-2.5,297,-2,292,9,3,6,0.333,6,2,1,0,0,0,0,0,26.50%,4.90%
74,David Richman,0,94,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
75,Dedrique Taylor,-0.1,117,-0.2,156,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
76,Dennis Felton,-0.3,188,-0.2,156,1,0,1,0,1,0,0,0,0,0,0,0,0.20%,0.00%
77,Dennis Gates,0.4,73,0,95,3,1,2,0.333,2,1,0,0,0,0,0,0,0.80%,0.10%
78,Derek Kellogg,-0.4,209,-1.1,253,1,0,1,0,1,0,0,0,0,0,0,0,0.50%,0.00%
79,Dino Gaudio,-0.6,225,-1.2,263,3,1,2,0.333,2,1,0,0,0,0,0,0,5.20%,0.40%
80,Donnie Tyndall,0.7,54,0.7,65,3,1,2,0.333,2,1,0,0,0,0,0,0,0.10%,0.00%
81,Drew Valentine,-0.7,234,-0.6,222,1,0,1,0,1,0,0,0,0,0,0,0,1.30%,0.10%
82,Dusty May,3.3,17,3.4,18,5,4,1,0.8,1,1,1,1,1,0,0,0,3.10%,0.40%
83,Earl Grant,-0.2,153,-0.3,185,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
84,Ed Cooley,-1.3,271,-2.1,294,9,3,6,0.333,6,2,1,0,0,0,0,0,9.40%,0.70%
85,Ed DeChillis,-0.7,234,-0.6,222,1,0,1,0,1,0,0,0,0,0,0,0,1.40%,0.10%
86,Eddie Biedenbach,-0.2,153,0,95,2,0,2,0,2,0,0,0,0,0,0,0,0.10%,0.00%
87,Edward Joyner,-0.1,117,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
88,Edward Joyner Jr,0,94,0,95,2,0,2,0,2,0,0,0,0,0,0,0,0.00%,0.00%
89,Eran Ganot,0.4,73,0.8,54,2,1,1,0.5,1,1,0,0,0,0,0,0,0.60%,0.00%
90,Eric Henderson,-0.4,209,-0.3,185,1,0,1,0,1,0,0,0,0,0,0,0,0.40%,0.00%
91,Eric Musselman,4.6,9,3.6,17,16,10,6,0.625,6,4,4,2,0,0,0,0,15.80%,1.80%
92,Ernie Kent,-0.6,225,-0.6,222,1,0,1,0,1,0,0,0,0,0,0,0,0.80%,0.10%
93,Fran Dunphy,-2.6,299,-3.6,304,9,2,7,0.222,7,2,0,0,0,0,0,0,13.50%,1.40%
94,Fran McCaffery,-2.6,299,-1.7,283,15,6,9,0.4,9,6,0,0,0,0,0,1,34.20%,7.20%
95,Fran O'Hanlon,0,94,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
96,Frank Haith,-2.5,297,-2.8,300,4,1,3,0.25,3,1,0,0,0,0,0,1,19.80%,3.40%
97,Frank Martin,4,13,4.3,11,15,10,5,0.667,5,5,2,2,1,0,0,1,32.40%,6.70%
98,Fred Hoiberg,-0.9,247,-1,251,8,4,4,0.5,4,3,1,0,0,0,0,0,19.90%,2.20%
99,Gary Waters,0.4,73,0.8,54,2,1,1,0.5,1,1,0,0,0,0,0,0,1.20%,0.10%
100,Gary Williams,-0.2,153,-0.2,156,4,2,2,0.5,2,2,0,0,0,0,0,0,8.60%,1.60%
101,George Ivory,0,94,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
102,Grant McCasland,0.6,64,0.8,54,2,1,1,0.5,1,1,0,0,0,0,0,0,0.20%,0.00%
103,Greg Gard,0.4,73,0.8,54,11,6,5,0.545,5,4,2,0,0,0,0,0,20.90%,3.00%
104,Greg Graham,-0.1,117,-0.2,156,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
105,Greg Herenda,0,94,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
106,Greg Kampe,-0.5,222,-0.4,207,2,0,2,0,2,0,0,0,0,0,0,0,0.60%,0.00%
107,Greg Lansing,-0.2,153,-0.2,156,1,0,1,0,1,0,0,0,0,0,0,0,0.10%,0.00%
108,Greg McDermott,0.7,54,0.9,47,17,9,8,0.529,8,6,2,1,0,0,0,0,28.70%,4.90%
109,Gregg Marshall,-0.8,240,0.2,86,16,9,7,0.562,7,5,2,1,1,0,0,1,47.60%,13.50%
110,Griff Aldrich,-0.1,117,-0.2,156,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
111,Herb Sendek,-1.1,264,-0.7,233,3,1,2,0.333,2,1,0,0,0,0,0,0,8.60%,1.50%
112,Hubert Davis,3.8,14,4.3,11,6,5,1,0.833,1,1,1,1,1,1,0,0,6.40%,0.80%
113,James Green,0,94,0,95,1,0,1,0,1,0,0,0,0,0,0,0,0.00%,0.00%
