YEAR,TEAM NO,TEAM,SEED,ROUND,AP VOTES,AP RANK,RANK?
2024,1078,Alabama,4,0,163,24,1
2024,1077,Arizona,2,0,776,12,1
2024,,Arkansas,,0,685,14,1
2024,1076,Auburn,4,0,27,31,0
2024,1075,Baylor,3,0,431,20,1
2024,1074,Boise St.,10,0,4,39,0
2024,1070,College of Charleston,13,0,2,41,0
2024,1069,Colorado,10,0,49,27,0
2024,1067,Connecticut,1,0,1243,6,1
2024,1066,Creighton,3,0,1099,8,1
2024,1064,Drake,10,0,1,43,0
2024,1063,Duke,4,0,1466,2,1
2024,1061,Florida,7,0,2,42,0
2024,1060,Florida Atlantic,8,0,1011,10,1
2024,1059,Gonzaga,5,0,830,11,1
2024,1056,Houston,1,0,1117,7,1
2024,1054,Illinois,3,0,104,25,1
2024,,Indiana,,0,3,40,0
2024,1051,Kansas,4,0,1548,1,1
2024,,Kansas St.,,0,13,35,0
2024,1050,Kentucky,3,0,530,16,1
2024,1047,Marquette,2,0,1283,5,1
2024,,Maryland,,0,34,30,0
2024,,Memphis,,0,7,37,0
2024,,Miami FL,,0,750,13,1
2024,1045,Michigan State,9,0,1346,4,1
2024,1044,Mississippi St.,8,0,20,34,0
2024,,Missouri,,0,6,38,0
2024,1039,New Mexico,11,0,1,44,0
2024,1038,North Carolina,1,0,474,19,1
2024,1033,Purdue,1,0,1436,3,1
2024,1032,Saint Mary's,5,0,335,23,1
2024,1029,San Diego State,5,0,529,17,1
2024,,St. John's,,0,47,28,0
2024,1025,TCU,9,0,24,33,0
2024,1024,Tennessee,2,0,1032,9,1
2024,1023,Texas,7,0,493,18,1
2024,1022,Texas A&M,9,0,597,15,1
2024,,UCLA,,0,47,29,0
2024,,USC,,0,427,21,1
2024,,Villanova,,0,395,22,1
2024,1017,Virginia,10,0,27,32,0
2024,1013,Wisconsin,5,0,53,26,0
2024,,Xavier,,0,8,36,0
2023,,North Carolina,,,1532,1,1
2023,995,Gonzaga,3,8,1479,2,1
2023,993,Houston,1,16,1404,3,1
2023,982,Kentucky,6,32,1364,4,1
2023,1006,Baylor,3,32,1200,5,1
2023,986,Kansas,1,32,1200,5,1
2023,999,Duke,5,32,1168,7,1
2023,952,UCLA,2,16,1093,8,1
2023,1001,Creighton,6,8,1060,9,1
2023,1008,Arkansas,8,16,1026,10,1
2023,958,Tennessee,4,16,880,11,1
2023,957,Texas,2,8,844,12,1
2023,990,Indiana,4,32,745,13,1
2023,959,TCU,6,32,735,14,1
2023,1007,Auburn,9,32,623,15,1
2023,,Villanova,,,578,16,1
2023,1010,Arizona,2,64,543,17,1
2023,946,Virginia,4,64,462,18,1
2023,961,San Diego St.,5,2,394,19,1
2023,1011,Alabama,1,16,281,20,1
2023,,Oregon,,,260,21,1
2023,,Michigan,,,229,22,1
2023,991,Illinois,9,64,215,23,1
2023,,Dayton,,,170,24,1
2023,,Texas Tech,,,122,25,1
2023,956,Texas A&M,7,64,112,26,0
2023,1002,Connecticut,4,1,101,27,0
2023,977,Miami FL,5,4,66,28,0
2023,963,Purdue,1,64,56,29,0
2023,,Saint Louis,,,36,30,0
2023,976,Michigan St.,7,16,35,31,0
2023,,Florida St.,,,32,32,0
2023,944,Xavier,3,16,29,33,0
2023,,Wyoming,,,25,34,0
2023,,Ohio St.,,,23,35,0
2023,988,Iowa,8,64,13,36,0
2023,,Rutgers,,,4,37,0
2023,,Florida,,,3,38,0
2023,950,USC,10,64,3,38,0
2023,978,Memphis,8,64,1,40,0
2023,,Notre Dame,,,1,40,0
2023,,Toledo,,,1,40,0
2023,,UAB,,,1,40,0
2023,,Virginia Tech,,,1,40,0
2022,925,Gonzaga,1,16,1562,1,1
2022,884,UCLA,4,16,1459,2,1
2022,918,Kansas,1,1,1427,3,1
2022,881,Villanova,2,4,1332,4,1
2022,889,Texas,6,32,1315,5,1
2022,910,Michigan,11,16,1255,6,1
2022,900,Purdue,3,16,1213,7,1
2022,938,Baylor,1,32,992,8,1
2022,927,Duke,2,4,963,9,1
2022,917,Kentucky,2,64,894,10,1
2022,923,Illinois,4,32,861,11,1
2022,912,Memphis,9,32,831,12,1
2022,,Oregon,,,775,13,1
2022,942,Alabama,6,64,713,14,1
2022,924,Houston,5,8,694,15,1
2022,940,Arkansas,4,8,673,16,1
2022,902,Ohio St.,7,32,581,17,1
2022,890,Tennessee,3,32,563,18,1
2022,904,North Carolina,8,2,547,19,1
2022,,Florida St.,,,381,20,1
2022,,Maryland,,,294,21,1
2022,939,Auburn,2,32,267,22,1
2022,,St. Bonaventure,,,238,23,1
2022,931,Connecticut,5,64,161,24,1
2022,,Virginia,,,125,25,1
2022,909,Michigan St.,7,32,87,26,0
2022,922,Indiana,12,64,41,27,0
