YEAR,TEAM NO,TEAM,SEED,ROUND,NET RPI,RESUME,WAB RANK,ELO,B POWER,Q1 W,Q2 W,Q1 PLUS Q2 W,Q3 Q4 L,PLUS 500,R SCORE,BID TYPE
2024,1079,Akron,14,0,106,131,104,103,111.5,0,2,2,4,13,0,At-Large
2024,1078,Alabama,4,0,10,31,15,31,11.5,4,7,11,0,11,99.35,At-Large
2024,1077,Arizona,2,0,4,10,11,14,5.5,8,7,15,1,18,99.87,At-Large
2024,1076,Auburn,4,0,5,45,9,5,4,3,10,13,0,21,99.42,At-Large
2024,1075,Baylor,3,0,13,8,10,25,13.5,10,4,14,0,14,99.73,At-Large
2024,1074,Boise St.,10,0,27,17,47,42,43.5,6,3,9,1,12,86.45,At-Large
2024,1073,BYU,6,0,12,19,21,38,16.5,6,5,11,0,14,98.42,At-Large
2024,1072,Clemson,6,0,35,23,46,57,31.5,5,5,10,1,10,94.27,At-Large
2024,1071,Colgate,14,0,125,157,98,95,128,0,1,1,4,15,0,At-Large
2024,1070,College of Charleston,13,0,96,125,75,36,97.5,0,1,1,4,19,0.01,At-Large
2024,1069,Colorado,10,0,25,55,30,27,35.5,4,6,10,0,14,83.64,At-Large
2024,1068,Colorado St.,10,0,36,34,35,47,54.5,6,3,9,1,14,71.99,At-Large
2024,1067,Connecticut,1,0,2,2,1,1,1.5,13,8,21,0,29,99.98,At-Large
2024,1066,Creighton,3,0,11,9,13,17,10,8,7,15,0,15,99.74,At-Large
2024,1065,Dayton,7,0,23,65,25,26,31.5,3,5,8,0,17,87.95,At-Large
2024,1064,Drake,10,0,47,62,32,10,52,4,3,7,2,22,39.02,At-Large
2024,1063,Duke,4,0,9,21,19,20,8,5,6,11,0,17,99.72,At-Large
2024,1062,Duquesne,11,0,81,64,76,41,90,2,6,8,3,12,0.42,At-Large
2024,1061,Florida,7,0,28,16,20,24,23.5,6,4,10,1,13,98.74,At-Large
2024,1060,Florida Atlantic,8,0,38,63,40,37,38,2,8,10,3,17,62.2,At-Large
2024,1059,Gonzaga,5,0,17,53,26,16,15.5,3,4,7,0,19,95.32,At-Large
2024,1058,Grambling St.,16,0,279,234,162,179,279,0,0,0,8,6,0,At-Large
2024,1057,Grand Canyon,12,0,50,99,39,22,57,1,2,3,2,24,7.76,At-Large
2024,1056,Houston,1,0,1,3,3,2,1.5,16,3,19,0,27,99.97,At-Large
2024,1055,Howard,16,0,273,272,253,223,267,0,0,0,12,2,0,At-Large
