YEAR,BY YEAR NO,BY ROUND NO,TEAM NO,TEAM,SEED,ROUND,CURRENT ROUND
2024,2036,0,1067,Connecticut,1,1,64
2024,2035,0,1026,Stetson,16,64,64
2024,1972,0,1060,Florida Atlantic,8,1,64
2024,1971,0,1036,Northwestern,9,64,64
2024,2000,0,1029,San Diego St.,5,1,64
2024,1999,0,1020,UAB,12,64,64
2024,2008,0,1076,Auburn,4,1,64
2024,2007,0,1012,Yale,13,64,64
2024,1992,0,1073,BYU,6,1,64
2024,1991,0,1062,Duquesne,11,64,64
2024,2016,0,1054,Illinois,3,1,64
2024,2015,0,1042,Morehead St.,14,64,64
2024,1984,0,1015,Washington St.,7,1,64
2024,1983,0,1064,Drake,10,64,64
2024,2024,0,1053,Iowa St.,2,1,64
2024,2023,0,1027,South Dakota St.,15,64,64
2024,2034,0,1038,North Carolina,1,1,64
2024,2033,0,1055,Howard,16,64,64
2024,1970,0,1044,Mississippi St.,8,1,64
2024,1969,0,1045,Michigan St.,9,64,64
2024,1998,0,1032,Saint Mary's,5,1,64
2024,1997,0,1057,Grand Canyon,12,64,64
2024,2006,0,1078,Alabama,4,1,64
2024,2005,0,1070,College of Charleston,13,64,64
2024,1990,0,1072,Clemson,6,1,64
2024,1989,0,1039,New Mexico,11,64,64
2024,2014,0,1075,Baylor,3,1,64
2024,2013,0,1071,Colgate,14,64,64
2024,1982,0,1065,Dayton,7,1,64
2024,1981,0,1040,Nevada,10,64,64
2024,2022,0,1077,Arizona,2,1,64
2024,2021,0,1049,Long Beach St.,15,64,64
2024,2030,0,1056,Houston,1,1,64
2024,2029,0,1048,Longwood,16,64,64
2024,1968,0,1041,Nebraska,8,1,64
2024,1967,0,1022,Texas A&M,9,64,64
2024,1996,0,1013,Wisconsin,5,1,64
2024,1995,0,1052,James Madison,12,64,64
2024,2004,0,1063,Duke,4,1,64
2024,2003,0,1018,Vermont,13,64,64
2024,1988,0,1021,Texas Tech,6,1,64
2024,1987,0,1037,North Carolina St.,11,64,64
2024,2012,0,1050,Kentucky,3,1,64
2024,2011,0,1035,Oakland,14,64,64
2024,1978,0,1061,Florida,7,1,64
2024,1977,0,1069,Colorado,10,64,64
2024,2020,0,1047,Marquette,2,1,64
2024,2019,0,1014,Western Kentucky,15,64,64
2024,2028,0,1033,Purdue,1,1,64
2024,2027,0,1043,Montana St.,16,64,64
2024,1966,0,1019,Utah St.,8,1,64
2024,1965,0,1025,TCU,9,64,64
2024,1994,0,1059,Gonzaga,5,1,64
2024,1993,0,1046,McNeese St.,12,64,64
2024,2002,0,1051,Kansas,4,1,64
2024,2001,0,1030,Samford,13,64,64
2024,1986,0,1028,South Carolina,6,1,64
2024,1985,0,1034,Oregon,11,64,64
2024,2010,0,1066,Creighton,3,1,64
2024,2009,0,1079,Akron,14,64,64
2024,1974,0,1023,Texas,7,1,64
2024,1973,0,1068,Colorado St.,10,64,64
2024,2018,0,1024,Tennessee,2,1,64
2024,2017,0,1031,Saint Peter's,15,64,64
