YEAR,CURRENT ROUND,SEED WON,SEED LOST,SEED DIFF
2023,64,13,4,9
2023,64,15,2,13
2023,64,16,1,15
2023,64,11,6,5
2023,64,10,7,3
2023,32,6,3,3
2023,32,15,7,8
2023,32,7,2,5
2023,32,8,1,7
2023,16,5,1,4
2023,16,9,4,5
2023,16,5,1,4
2023,8,9,3,6
2023,8,5,2,3
2022,64,12,5,7
2022,64,11,6,5
2022,64,15,2,13
2022,64,11,6,5
2022,64,12,5,7
2022,64,11,6,5
2022,64,10,7,3
2022,32,8,1,7
2022,32,15,7,8
2022,32,11,3,8
2022,32,11,3,8
2022,32,10,2,8
2022,16,4,1,3
2022,16,8,4,4
2022,16,15,3,12
2022,16,5,1,4
2022,4,8,2,6
2021,64,13,4,9
2021,64,11,6,5
2021,64,14,3,11
2021,64,10,7,3
2021,64,13,4,9
2021,64,15,2,13
2021,64,12,5,7
2021,64,11,6,5
2021,64,10,7,3
2021,32,6,3,3
2021,32,7,2,5
2021,32,15,7,8
2021,32,8,1,7
2021,32,12,4,8
2021,32,11,3,8
2021,16,11,2,9
2021,16,12,8,4
2021,8,11,1,10
2019,64,12,5,7
2019,64,10,7,3
2019,64,12,5,7
2019,64,10,7,3
2019,64,12,5,7
2019,64,13,4,9
2019,64,10,7,3
2019,64,11,6,5
2019,16,5,1,4
2019,8,3,1,2
2019,8,5,2,3
2018,64,16,1,15
2018,64,13,4,9
2018,64,11,6,5
2018,64,13,4,9
2018,64,10,7,3
2018,64,11,6,5
2018,32,11,3,8
2018,32,7,2,5
2018,32,9,1,8
2018,32,7,2,5
2018,32,11,3,8
2018,16,9,5,4
2018,16,11,7,4
2018,16,9,4,5
2018,8,11,9,2
2017,64,11,6,5
2017,64,11,6,5
2017,64,11,6,5
2017,64,12,5,7
2017,64,10,7,3
2017,32,8,1,7
2017,32,7,2,5
2017,32,11,3,8
2017,32,7,2,5
2017,16,7,3,4
2017,16,11,2,9
2017,8,7,4,3
2017,8,3,1,2
2016,64,13,4,9
2016,64,11,6,5
2016,64,12,5,7
2016,64,11,6,5
2016,64,10,7,3
2016,64,14,3,11
2016,64,12,5,7
2016,64,11,6,5
2016,64,10,7,3
2016,64,15,2,13
2016,32,7,2,5
2016,32,11,3,8
2016,8,10,1,9
2015,64,14,3,11
2015,64,10,7,3
2015,64,11,6,5
2015,64,11,6,5
2015,64,14,3,11
2015,32,7,2,5
2015,32,8,1,7
2015,32,7,2,5
2015,16,7,3,4
2015,8,7,4,3
2014,64,12,5,7
2014,64,11,6,5
2014,64,10,7,3
2014,64,12,5,7
2014,64,12,5,7
2014,64,11,6,5
2014,64,14,3,11
2014,32,11,3,8
2014,32,10,2,8
2014,32,7,2,5
2014,32,6,3,3
2014,32,8,1,7
2014,16,4,1,3
2014,16,7,3,4
2014,16,8,4,4
2014,8,7,4,3
2014,8,8,2,6
2014,4,7,1,6
2014,4,8,2,6
2013,64,12,5,7
2013,64,12,5,7
2013,64,13,4,9
2013,64,14,3,11
2013,64,10,7,3
2013,64,11,6,5
2013,64,15,2,13
2013,64,12,5,7
2013,32,12,4,8
2013,32,9,1,8
2013,32,15,7,8
2013,16,4,1,3
2013,16,4,1,3
2013,8,9,2,7
2012,64,12,5,7
2012,64,11,6,5
2012,64,10,7,3
2012,64,15,2,13
2012,64,15,2,13
2012,64,12,5,7
2012,64,13,4,9
2012,64,11,6,5
2012,64,10,7,3
2012,32,6,3,3
2012,32,11,3,8
2012,16,4,1,3
2012,16,7,3,4
2011,64,11,6,5
2011,64,12,5,7
2011,64,13,4,9
2011,64,11,6,5
2011,64,10,7,3
2011,64,11,6,5
2011,32,11,3,8
2011,32,11,3,8
2011,32,10,2,8
2011,32,8,1,7
2011,16,4,1,3
2011,16,5,1,4
2011,16,8,4,4
2011,8,4,2,2
2011,8,11,1,10
2011,8,8,2,6
2010,64,14,3,11
2010,64,10,7,3
2010,64,13,4,9
2010,64,12,5,7
2010,64,11,6,5
2010,64,10,7,3
2010,64,11,6,5
2010,64,10,7,3
2010,32,9,1,8
2010,32,6,3,3
2010,32,12,4,8
2010,32,11,3,8
2010,32,10,2,8
2010,16,6,2,4
2010,16,5,1,4
2010,8,5,2,3
2009,64,12,5,7
2009,64,13,4,9
2009,64,11,6,5
2009,64,10,7,3
2009,64,10,7,3
2009,64,12,5,7
2009,64,12,5,7
2009,64,10,7,3
2009,8,3,1,2
2008,64,12,5,7
2008,64,13,4,9
2008,64,11,6,5
2008,64,10,7,3
2008,64,12,5,7
2008,64,13,4,9
2008,32,10,2,8
2008,32,7,2,5
2008,16,10,3,7
